CompanyName,CompanyType,Programme,RefDate,Sector
AZAM M&E CONSULTANCY,SME,STAR,31/3/2021,
AZAM TAWAKAL SDN BHD,SME,STAR,11/2/2022,Healthcare
AZMI LUDDIN ARCHITECT,,STAR,23/4/2015,
AZUDIN CONSTRUCTION,SME,STAR,18/2/2019,
ABBOTT LABORATORIES (MALAYSIA) SDN BHD,MNC,STAR,31/1/2017,Healthcare
ABLE COFFEE GROUP SDN BHD,Others,STAR,15/4/2015,
ABLE PERFECT SDN BHD,Others,STAR,26/10/2017,
ABSOLUTE GENETIC TECHNOLOGIES SDN BHD,SME,STAR,14/1/2019,
ACADEMY OF SCIENCE MALAYSIA,GLC,STAR,24/12/2018,
ACCENDO HUMAN RESOURCE SOLUTIONS SDN BHD,SME,STAR,4/12/2017,
ACCENTURE SOLUTIONS SDN BHD,MNC,STAR,29/9/2011,
ACCENTURE TECHNOLOGY SOLUTIONS SDN BHD,MNC,STAR,7/1/2021,
ACE & OSCAR CONSULTANTS OWNED BY RAHY BUSINESS PLUS SDN BHD,Others,STAR,24/7/2017,
ACE CORPORATE TAX SDN BHD,Others,STAR,23/10/2017,
ACE RESOURCE ADVISORY SERVICES SDN BHD,Others,STAR,3/1/2020,
ACIDCHEM INTERNATIONAL SDN BHD,Others,STAR,4/10/2011,
ACSON MALAYSIA SALES & SERVICE SDN BHD,MNC,STAR,19/10/2012,
ACTIVE HYDRO CONTROL SDN BHD,SME,STAR,9/10/2017,
ACUITY SYSTEM CONSULTANTS SDN BHD,SME,STAR,1/7/2020,
ADAPTIVE BUSINESS SOLUTIONS SDN BHD,SME,STAR,16/10/2017,
ADAPTIVE NETPOLEON MALAYSIA SDN BHD,MNC,STAR,2/1/2019,
ADVANCE PACT SDN BHD,GLC,STAR,12/10/2016,Healthcare
ADVANCED CONSULTING ENGINEERS SDN BHD,SME,STAR,18/8/2017,
ADVANCED MAINTENANCE PRECISION MANAGEMENT (AMPM) SDN BHD,Others,STAR,19/6/2014,
ADVANCED MAINTENANCE PRECISION MANAGEMENT SDN BHD,Others,STAR,13/11/2017,
ADVANCED MICRO DEVICES GLOBAL SERVICES MALAYSIA,MNC,STAR,16/11/2021,E&E
ADVANSIA SDN BHD,Others,STAR,19/8/2013,Agriculture
ADVANSOFT SDN BHD,SME,STAR,3/10/2017,
AEROKWAI SDN BHD,MNC,STAR,5/8/2013,
AESTE WORKS (M) SDN BHD,Others,STAR,9/3/2012,E&E
AEX SYSTEM SDN BHD,,STAR,7/4/2014,
AFFIN HWANG INVESTMENT BANK BHD,GLC,STAR,7/4/2014,Financial Services
AFRIZAN TARMILI KHAIRUL AZHAR,Others,STAR,11/3/2014,Financial Services
AGENSI PEKERJAAN ASK RESOURCES SDN BHD,,STAR,18/4/2014,
AGENSI PEKERJAAN ADNEXIO SDN BHD,SME,STAR,5/4/2021,
